630 [main] DEBUG space.exploration.mars.rover.service.QueryService  - StartMS supplied = 1480229233157 jodaInternalEarthDate = 2016-11-27T00:47:13.157-06:00 curiosityEarthDate = 2016-11-27
631 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
631 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
631 [main] DEBUG space.exploration.mars.rover.service.QueryService  - https://api.nasa.gov/mars-photos/api/v1/rovers/curiosity/photos?earth_date=2016-11-27&camera=FHAZ&api_key=DEMO_KEY
2774 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Curiosity internal spacecraft clock started at :: 2016-01-01T00:00:00.000-06:00
2774 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Mission duration is set to :: 1 year(s).
2774 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Mission duration = 31536000000
2774 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:00.000-06:00 sclk of::
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3777 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3778 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.280-06:00 sclk of::1/0504877269-44218
3781 [main] INFO space.exploration.mars.rover.kernel.SpacecraftClock  - Internal time::2016-01-01T00:00:08.340-06:00 sclk of::1/0504877269-44218
