0    [main] INFO  space.exploration.mars.rover.kernel.Rover  - Rover current position is = java.awt.Point[x=0,y=250]
1007 [main] INFO  space.exploration.mars.rover.sensor.Lidar  - Lidar initialized and ready!
2010 [main] INFO  space.exploration.mars.rover.sensor.Spectrometer  - Spectrometer initialized and ready!
3436 [main] INFO  space.exploration.mars.rover.sensor.Camera  - Camera initialized and ready!
4440 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radio configured:: 
5443 [main] INFO  space.exploration.mars.rover.power.Battery  - Battery configured, batteryLife:primaryPowerUnits = 10000 auxiliaryPowerUnits = 1000 alertThreshold: 100 rechargeTime = 60000
5894 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5924 [main] WARN  kafka.utils.VerifiableProperties  - Property auto.offset.reset is not valid
5924 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5924 [main] WARN  kafka.utils.VerifiableProperties  - Property group.id is not valid
5925 [main] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to localhost:9092
5925 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5925 [main] WARN  kafka.utils.VerifiableProperties  - Property zookeeper.connect is not valid
5967 [main] INFO  kafka.utils.VerifiableProperties  - Verifying properties
5968 [main] INFO  kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
5968 [main] WARN  kafka.utils.VerifiableProperties  - Property destination.topic is not valid
5968 [main] INFO  kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover
5968 [main] WARN  kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
5968 [main] WARN  kafka.utils.VerifiableProperties  - Property source.topic is not valid
5968 [main] INFO  kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to localhost:2181
5998 [main] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover_zionmainframe-1496510140521-389dfcf8], Connecting to zookeeper instance at localhost:2181
6006 [ZkClient-EventThread-23-localhost:2181] INFO  org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
6011 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
6011 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zionmainframe
6011 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_131
6011 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
6011 [main] INFO  org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
