Rover current position is = java.awt.Point[x=525,y=100]
Lidar initialized and ready!
Spectrometer initialized and ready!
Camera initialized and ready!
Radar configured:: 
navEnginePosn :: java.awt.Point[x=525,y=100]
navEnginePosn :: java.awt.Point[x=525,y=125]
navEnginePosn :: java.awt.Point[x=525,y=150]
navEnginePosn :: java.awt.Point[x=525,y=175]
navEnginePosn :: java.awt.Point[x=525,y=200]
navEnginePosn :: java.awt.Point[x=525,y=225]
navEnginePosn :: java.awt.Point[x=525,y=250]
navEnginePosn :: java.awt.Point[x=525,y=275]
navEnginePosn :: java.awt.Point[x=525,y=300]
navEnginePosn :: java.awt.Point[x=525,y=325]
navEnginePosn :: java.awt.Point[x=525,y=350]
navEnginePosn :: java.awt.Point[x=500,y=350]
navEnginePosn :: java.awt.Point[x=500,y=375]
navEnginePosn :: java.awt.Point[x=500,y=400]
navEnginePosn :: java.awt.Point[x=525,y=400]
navEnginePosn :: java.awt.Point[x=550,y=400]
navEnginePosn :: java.awt.Point[x=575,y=400]
navEnginePosn :: java.awt.Point[x=575,y=375]
navEnginePosn :: java.awt.Point[x=600,y=375]
navEnginePosn :: java.awt.Point[x=625,y=375]
navEnginePosn :: java.awt.Point[x=650,y=375]
