44315 [Thread-2] INFO space.exploration.mars.rover.kernel.SleepingState  - Awaking from sleeping state
44316 [Thread-2] INFO space.exploration.mars.rover.animation.SleepingAnimationEngine  - Waking up rover
53439 [Thread-2] INFO space.exploration.mars.rover.kernel.ListeningState  - 1508718141586,10,GetSeasonalWeather Current instructionQueue length = 0
53439 [Thread-2] INFO space.exploration.mars.rover.kernel.ListeningState  - Rover will try to get weather measurements - actual Curiosity Data
53441 [Thread-2] INFO space.exploration.mars.rover.kernel.WeatherSensingState  - Will get mars weather measurements
74819 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Client session timed out, have not heard from server in 7610ms for sessionid 0x15f2dbff96c000f, closing socket connection and attempting reconnect
78985 [main-EventThread] INFO org.I0Itec.zkclient.ZkClient  - zookeeper state changed (Disconnected)
81508 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
122852 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Socket connection established to localhost/127.0.0.1:2181, initiating session
122862 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Client session timed out, have not heard from server in 41242ms for sessionid 0x15f2dbff96c000f, closing socket connection and attempting reconnect
145239 [kafka-consumer-scheduler-0] INFO org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
