50493 [Thread-2] INFO space.exploration.mars.rover.kernel.ListeningState  - 1508718759047,10,GetSeasonalWeather Current instructionQueue length = 0
50495 [Thread-2] INFO space.exploration.mars.rover.kernel.ListeningState  - Rover will try to get weather measurements - actual Curiosity Data
50497 [Thread-2] INFO space.exploration.mars.rover.kernel.WeatherSensingState  - Will get mars weather measurements
58952 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Client session timed out, have not heard from server in 5454ms for sessionid 0x15f2dbff96c0014, closing socket connection and attempting reconnect
59718 [main-EventThread] INFO org.I0Itec.zkclient.ZkClient  - zookeeper state changed (Disconnected)
62777 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
64268 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Socket connection established to localhost/127.0.0.1:2181, initiating session
64740 [main-EventThread] INFO org.I0Itec.zkclient.ZkClient  - zookeeper state changed (Expired)
65207 [main-EventThread] INFO org.apache.zookeeper.ZooKeeper  - Initiating client connection, connectString=localhost:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@3a0d172f
65208 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Unable to reconnect to ZooKeeper service, session 0x15f2dbff96c0014 has expired, closing socket connection
65891 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
65891 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Socket connection established to localhost/127.0.0.1:2181, initiating session
65892 [main-EventThread] INFO org.apache.zookeeper.ClientCnxn  - EventThread shut down
65903 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Session establishment complete on server localhost/127.0.0.1:2181, sessionid = 0x15f2dbff96c0015, negotiated timeout = 6000
65904 [main-EventThread] INFO org.I0Itec.zkclient.ZkClient  - zookeeper state changed (SyncConnected)
85865 [main-SendThread(localhost:2181)] INFO org.apache.zookeeper.ClientCnxn  - Client session timed out, have not heard from server in 19962ms for sessionid 0x15f2dbff96c0015, closing socket connection and attempting reconnect
85868 [ZkClient-EventThread-28-localhost:2181] INFO kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.newRover_zion-mainframe-1508718729646-f36f79ed], ZK expired; release old broker parition ownership; re-register consumer space.exploration.mars.newRover_zion-mainframe-1508718729646-f36f79ed
85871 [ZkClient-EventThread-28-localhost:2181] INFO kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.newRover_zion-mainframe-1508718729646-f36f79ed], begin registering consumer space.exploration.mars.newRover_zion-mainframe-1508718729646-f36f79ed in ZK
85874 [ZkClient-EventThread-28-localhost:2181] INFO kafka.utils.ZKCheckedEphemeral  - Creating /consumers/space.exploration.mars.newRover/ids/space.exploration.mars.newRover_zion-mainframe-1508718729646-f36f79ed (is it secure? false)
85966 [main-EventThread] INFO org.I0Itec.zkclient.ZkClient  - zookeeper state changed (Disconnected)
85977 [kafka-consumer-scheduler-0] INFO org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
