Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
1P/Halley,49400,2446467.395,0.9671429085,162.2626906,111.3324851,58.42008098,0.5859781115,35.08,75.32,0.063782,0.00000000027,0.000000000155,,,J863/77,1P/Halley
2P/Encke,56870,2456618.204,0.8482682514,11.77999525,186.5403463,334.5698056,0.3360923855,4.09,3.3,0.173092,0.000000000158,-0.00000000000505,,,74,2P/Encke
3D/Biela,-9480,2390514.115,0.751299,13.2164,221.6588,250.669,0.879073,6.19,6.65,0.000518,0.0000000039,-0.000000000254,,,IAUCAT03,3D/Biela
5D/Brorsen,7440,2407439.534,0.809796,29.3821,14.9468,102.9676,0.589847,5.61,5.46,0.366559,0.0000000127,0.00000000134,,,IAUCAT03,5D/Brorsen
7P/Pons-Winnecke,56981,2457053.028,0.6375275046,22.33501476,172.5061606,93.41632728,1.239214834,5.6,6.32,0.224191,0.0000000000786,-0.0000000000115,-0.000000000153,131,K088/14,7P/Pons-Winnecke
8P/Tuttle,54374,2454492.526,0.819799747,54.98318484,207.509246,270.341652,1.027116587,10.37,13.61,0.09531,0.000000000689,0.000000000137,-0.000000000459,,K074/27,8P/Tuttle
12P/Pons-Brooks,35000,2434885.381,0.9548123942,74.17689423,199.0284686,255.8911444,0.7736670873,33.47,70.85,0.1873,-0.00000000102,-0.000000000271,,,15,12P/Pons-Brooks
13P/Olbers,35760,2435643.635,0.9302971475,44.60988573,64.64120652,86.10312835,1.178450614,32.64,69.52,0.477199,0.00000000945,0.000000000649,,,10,13P/Olbers
15P/Finlay,57003,2457018.557,0.7201837656,6.798912616,347.5528394,13.7781465,0.9759007725,6,6.51,0.009433,0.00000000408,0.0000000000665,,,K085/14,15P/Finlay
18D/Perrine-Mrkos,40240,2440162.042,0.6425809824,17.75898277,166.0504171,240.8755466,1.272248081,5.85,6.72,0.28923,,,,,J682/18,18D/Perrine-Mrkos
20D/Westphal,20080,2420098.29,0.919831189,40.89006106,57.08095497,348.0064469,1.254012762,30.03,61.87,0.468283,,,,,19,20D/Westphal
21P/Giacobini-Zinner,56498,2455969.126,0.7068178874,31.90810099,172.5844249,195.3970145,1.030696274,6,6.59,0.035395,0.00000000335,-0.000000000429,-0.000000000957,-32.8,K123/6,21P/Giacobini-Zinner
23P/Brorsen-Metcalf,47800,2447781.437,0.9719522579,19.33394047,129.6106837,311.5854622,0.4787527107,33.66,70.52,0.193872,0.00000000225,-0.000000000533,,,13,23P/Brorsen-Metcalf
24P/Schaumasse,52120,2452032.161,0.7048003557,11.75152976,57.87449255,79.8310383,1.205010042,6.96,8.25,0.28218,0.0000000011,-0.000000000586,,,K014/19,24P/Schaumasse
26P/Grigg-Skjellerup,56978,2456479.559,0.6402771379,22.42889388,2.146692288,211.5375548,1.085247781,4.95,5.24,0.079476,0.000000000113,-0.0000000000105,,,K139/6,26P/Grigg-Skjellerup
27P/Crommelin,56364,2455777.391,0.9189810923,28.96687279,196.0253969,250.6264098,0.7482874671,17.72,28.07,0.215189,-0.0000000365,-0.00000000171,0.00000000208,,K113/4,27P/Crommelin
41P/Tuttle-Giacobini-Kresak,53821,2453898.291,0.6604126649,9.228028049,62.19321856,141.0929309,1.047777635,5.12,5.42,0.135384,0.0000000135,0.00000000331,,,K064/9,41P/Tuttle-Giacobini-Kresak
45P/Honda-Mrkos-Pajdusakova,56060,2455833.282,0.8246720759,4.252433261,326.2580404,89.0021809,0.5297614214,5.51,5.25,0.060071,0.00000000388,0.000000000433,,,K112/2,45P/Honda-Mrkos-Pajdusakova
46P/Wirtanen,56799,2456482.869,0.6592025614,11.75713931,356.3402053,82.16439077,1.052262085,5.12,5.43,0.068212,0.00000000282,-0.00000000136,0.000000000665,-3.73,K073/17,46P/Wirtanen
55P/Tempel-Tuttle,51040,2450872.598,0.905552721,162.4865754,172.5002737,235.2709891,0.9764279155,19.7,33.24,0.008481,0.00000000158,0.0000000000919,,,J985/69,55P/Tempel-Tuttle
66P/du Toit,52920,2452879.492,0.7877014869,18.70073632,257.2497193,22.21536497,1.274266775,10.73,14.71,0.430358,-0.000000000377,-0.00000000011,,,48,66P/du Toit
67P/Churyumov-Gerasimenko,56981,2457247.572,0.6409739314,7.040200902,12.78560607,50.14210951,1.243241683,5.68,6.44,0.257189,0.00000000109,0.000000000107,0.000000000196,,K084/21,67P/Churyumov-Gerasimenko
72P/Denning-Fujikawa,56981,2456850.137,0.8191545266,9.16928387,337.8580425,36.10919646,0.7841612055,7.89,9.03,0.085253,,,,,21,72P/Denning-Fujikawa
73P/Schwassmann-Wachmann 3,50080,2449983.39,0.6948269106,11.4234876,198.7699787,69.94634151,0.9327707926,5.18,5.34,0.045198,0.00000000687,0.00000000049,,,J954/19,73P/Schwassmann-Wachmann 3
73P/Schwassmann-Wachmann 3-B,53880,2453894.424,0.6932855208,11.39695195,198.7994526,69.8924768,0.9391110367,5.18,5.36,0.04071,0.0000000149,0.00000000196,,,K061/24,73P/Schwassmann-Wachmann 3-B
73P/Schwassmann-Wachmann 3-C,55980,2455851.4,0.6922258013,11.37915706,198.8705914,69.8432169,0.9428566312,5.18,5.36,0.038373,0.00000000654,0.000000000483,,-12.2,K114/1,73P/Schwassmann-Wachmann 3-C
73P/Schwassmann-Wachmann 3-E,51920,2451937.953,0.6938774628,11.40562118,198.7732444,69.91710448,0.9374369945,5.19,5.36,0.041033,0.0000000172,0.00000000581,,,K013/11,73P/Schwassmann-Wachmann 3-E
73P/Schwassmann-Wachmann 3-G,53839,2453894.596,0.6934129712,11.38956229,198.7746011,69.90839961,0.9391839301,5.19,5.36,0.04054,,,,,19,73P/Schwassmann-Wachmann 3-G
73P/Schwassmann-Wachmann 3-H,53839,2453894.78,0.6935658067,11.3910639,198.7738045,69.90789141,0.9391695085,5.19,5.37,0.04055,,,,,14,73P/Schwassmann-Wachmann 3-H
73P/Schwassmann-Wachmann 3-J,53815,2453894.65,0.6915388167,11.38026546,198.8694441,69.82886018,0.9390202047,5.15,5.31,0.040713,,,,,3,73P/Schwassmann-Wachmann 3-J
73P/Schwassmann-Wachmann 3-K,53839,2453894.722,0.6935434852,11.39106462,198.7896439,69.8973434,0.9390768439,5.19,5.36,0.040579,,,,,4,73P/Schwassmann-Wachmann 3-K
73P/Schwassmann-Wachmann 3-L,53839,2453894.829,0.694735675,11.3987128,198.7475944,69.93678268,0.9390893944,5.21,5.4,0.040654,,,,,7,73P/Schwassmann-Wachmann 3-L
73P/Schwassmann-Wachmann 3-M,53839,2453894.757,0.6939409383,11.39436144,198.7775561,69.90530158,0.9390968147,5.2,5.37,0.040589,,,,,11,73P/Schwassmann-Wachmann 3-M
73P/Schwassmann-Wachmann 3-N,53839,2453894.77,0.6922889938,11.38094121,198.7643511,69.89730281,0.9392543584,5.17,5.33,0.040527,,,,,14,73P/Schwassmann-Wachmann 3-N
73P/Schwassmann-Wachmann 3-P,53839,2453894.353,0.6955758994,11.40542193,198.7241361,69.9561999,0.9391591394,5.23,5.42,0.04065,,,,,7,73P/Schwassmann-Wachmann 3-P
73P/Schwassmann-Wachmann 3-Q,53839,2453894.179,0.6986472444,11.4193581,198.4951922,70.13788751,0.9397157483,5.3,5.51,0.040746,,,,,3,73P/Schwassmann-Wachmann 3-Q
73P/Schwassmann-Wachmann 3-R,53839,2453894.68,0.6940882133,11.3947263,198.7697021,69.91308584,0.9391315473,5.2,5.38,0.04058,,,,,15,73P/Schwassmann-Wachmann 3-R
73P/Schwassmann-Wachmann 3-S,53839,2453895.26,0.6933582332,11.04818134,181.5621916,81.99161507,1.022366578,5.65,6.09,0.007355,,,,,2,73P/Schwassmann-Wachmann 3-S
73P/Schwassmann-Wachmann 3-T,53839,2453895.2,0.7119324141,11.51229958,198.1833801,70.47600442,0.9393187761,5.58,5.89,0.041618,,,,,5,73P/Schwassmann-Wachmann 3-T
73P/Schwassmann-Wachmann 3-U,53839,2453895.536,0.6893974588,11.35982065,198.8353865,69.83271992,0.9393903294,5.11,5.26,0.040297,,,,,2,73P/Schwassmann-Wachmann 3-U
73P/Schwassmann-Wachmann 3-V,53839,2453894.977,0.6934869706,11.65182376,204.9294792,65.24678693,0.9122067361,5.04,5.13,0.043636,,,,,2,73P/Schwassmann-Wachmann 3-V
73P/Schwassmann-Wachmann 3-W,53839,2453894.97,0.6975732498,11.41831799,198.6608054,70.01698507,0.9391250326,5.27,5.47,0.040799,,,,,3,73P/Schwassmann-Wachmann 3-W
73P/Schwassmann-Wachmann 3-X,53839,2453895.055,0.6947512888,11.39938737,198.7509795,69.92862059,0.9390826998,5.21,5.4,0.040651,,,,,7,73P/Schwassmann-Wachmann 3-X
73P/Schwassmann-Wachmann 3-Y,53839,2453895.095,0.7195023037,11.56184126,197.9700547,70.66913935,0.9391657408,5.76,6.13,0.042145,,,,,3,73P/Schwassmann-Wachmann 3-Y
73P/Schwassmann-Wachmann 3-Z,53839,2453894.809,0.6933582332,11.34947201,198.0161463,70.49401081,0.9420391541,5.2,5.38,0.040223,,,,,2,73P/Schwassmann-Wachmann 3-Z
73P/Schwassmann-Wachmann 3-AA,53839,2453895.666,0.6806338789,11.29506494,199.1079395,69.57271647,0.9392845342,4.94,5.04,0.039837,,,,,3,73P/Schwassmann-Wachmann 3-AA
73P/Schwassmann-Wachmann 3-AB,53856,2453895.214,0.6912468087,11.37319386,198.8169658,69.85894301,0.9391663283,5.14,5.31,0.040615,,,,,4,73P/Schwassmann-Wachmann 3-AB
73P/Schwassmann-Wachmann 3-AC,53856,2453895.178,0.6953671146,11.40528019,198.7526383,69.93380114,0.9390452533,5.23,5.41,0.040807,,,,,5,73P/Schwassmann-Wachmann 3-AC
73P/Schwassmann-Wachmann 3-AD,53839,2453895.179,0.6933582332,11.36836584,198.3713234,70.21921728,0.9407073595,5.19,5.37,0.040376,,,,,2,73P/Schwassmann-Wachmann 3-AD
