Source Name ,Comment [Sample_description],Comment [Sample_source_name],Comment [Sample_title]           ,Characteristics [growth condition],Term Source REF - 1,Term Accession Number - 1,Characteristics[organism],Term Source REF - 2,Term Accession Number - 2                    ,Characteristics [strain],Term Source REF - 3,Term Accession Number - 3,Protocol REF,Sample Name         ,Factor Value[growth condition],Term Source REF - 4,Term Accession Number - 4
GSM1231690 1,slide 43                    ,"Ground GAP 10, FPA 1"      ,flight vs ground - rep 1         ,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231690 extract 1,ground-based control condition,                   ,
GSM1231691 2,slide 44                    ,"Ground GAP 10, FPA 1"      ,ground vs flight - rep 1 dye swap,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231691 extract 2,ground-based control condition,                   ,
GSM1231695 2,slide 48                    ,"Ground GAP 11, FPA 1"      ,ground vs flight - rep 3 dye swap,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231695 extract 2,ground-based control condition,                   ,
GSM1231691 1,slide 44                    ,"Flight GAP 10, FPA 1"      ,ground vs flight - rep 1 dye swap,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231691 extract 1,spaceflight condition         ,                   ,
GSM1231697 2,slide 50                    ,"Ground GAP 11, FPA 4"      ,ground vs flight - rep 4 dye swap,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231697 extract 2,ground-based control condition,                   ,
GSM1231696 2,slide 49                    ,"Flight GAP 11, FPA 5"      ,flight vs ground - rep 4         ,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231696 extract 2,spaceflight condition         ,                   ,
GSM1231692 1,slide 45                    ,"Ground GAP 10, FPA 4"      ,flight vs ground - rep 2         ,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231692 extract 1,ground-based control condition,                   ,
GSM1231694 2,slide 47                    ,"Flight GAP 11, FPA 1"      ,flight vs ground - rep 3         ,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231694 extract 2,spaceflight condition         ,                   ,
GSM1231696 1,slide 49                    ,"Ground GAP 11, FPA 4"      ,flight vs ground - rep 4         ,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231696 extract 1,ground-based control condition,                   ,
GSM1231695 1,slide 48                    ,"Flight GAP 11, FPA 1"      ,ground vs flight - rep 3 dye swap,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231695 extract 1,spaceflight condition         ,                   ,
GSM1231694 1,slide 47                    ,"Ground GAP 11, FPA 1"      ,flight vs ground - rep 3         ,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231694 extract 1,ground-based control condition,                   ,
GSM1231690 2,slide 43                    ,"Flight GAP 10, FPA 1"      ,flight vs ground - rep 1         ,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231690 extract 2,spaceflight condition         ,                   ,
GSM1231693 2,slide 46                    ,"Ground GAP 10, FPA 4"      ,ground vs flight - rep 2 dye swap,ground-based control condition    ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231693 extract 2,ground-based control condition,                   ,
GSM1231697 1,slide 50                    ,"Flight GAP 11, FPA 5"      ,ground vs flight - rep 4 dye swap,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231697 extract 1,spaceflight condition         ,                   ,
GSM1231692 2,slide 45                    ,"Flight GAP 10, FPA 5"      ,flight vs ground - rep 2         ,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231692 extract 2,spaceflight condition         ,                   ,
GSM1231693 1,slide 46                    ,"Flight GAP 10, FPA 5"      ,ground vs flight - rep 2 dye swap,spaceflight condition             ,                   ,                         ,Candida albicans         ,EFO                ,http://purl.obolibrary.org/obo/NCBITaxon_5476,SC5413                  ,                   ,                         ,P-GSE50881-2,GSM1231693 extract 1,spaceflight condition         ,                   ,
