Designation,Discovery Date YYYY-MM-DD,H (mag),MOID (AU),q (AU),Q (AU),period (yr),i (deg),PHA,Orbit Class
419880 (2011 AH37),01/07/2011,19.7,0.035,0.84,4.26,4.06,9.65,Y,Apollo
419624 (2010 SO16),09/17/2010,20.5,0.028,0.93,1.08,1,14.52,Y,Apollo
414772 (2010 OC103),07/28/2010,19,0.333,0.39,2,1.31,23.11,N,Apollo
414746 (2010 EH20),03/06/2010,18,0.268,1.25,3.99,4.24,23.89,N,Amor
407324 (2010 OB101),07/18/2010,20.7,0.111,0.77,2.46,2.06,9.12,N,Apollo
398188 (2010 LE15),06/03/2010,19.5,0.024,0.63,1.1,0.8,13.25,Y,Aten
395207 (2010 HQ80),04/25/2010,19.6,0.007,0.8,2.34,1.96,27.85,Y,Apollo
386847 (2010 LR33),06/06/2010,18,0.029,0.91,2.48,2.2,5.84,Y,Apollo
381989 (2010 HR80),04/28/2010,19.9,0.104,0.68,2.02,1.56,26.71,N,Apollo
369454 (2010 NZ1),07/09/2010,19.4,0.275,0.49,2.26,1.61,32.78,N,Apollo
365449 (2010 NJ1),07/03/2010,20.3,0.155,0.44,1.49,0.95,11.23,N,Aten
365424 (2010 KX7),05/16/2010,21.9,0.034,0.82,1.16,0.98,21.49,Y,Aten
356394 (2010 QD2),08/21/2010,17.4,0.061,0.43,3.59,2.85,10.64,N,Apollo
(2015 HF11),04/17/2015,19.2,0.225,1.22,2.93,2.99,34.89,N,Amor
(2015 GK50),04/05/2015,20.5,0.237,1.03,5.12,5.39,19.07,N,Amor
(2015 GJ46),04/11/2015,19.3,0.238,0.67,5.06,4.85,18.22,N,Apollo
(2015 FT344),03/23/2015,20.5,0.203,1.09,4.01,4.07,12.55,N,Amor
(2015 FD341),03/27/2015,18,0.124,0.31,1.6,0.93,20.55,N,Aten
(2015 FU332),03/31/2015,17.3,0.269,0.67,4.59,4.27,36.11,N,Apollo
(2015 FE120),03/23/2015,21.1,0.013,1.01,3.49,3.38,22.8,Y,Apollo
(2015 FY117),03/20/2015,21.2,0.15,1.14,2.9,2.87,24.33,N,Amor
(2015 DX198),02/17/2015,22.1,0.074,1.02,2.25,2.1,11.05,N,Amor
(2015 BY516),01/30/2015,22.3,0.139,0.97,3.77,3.66,12.71,N,Apollo
(2015 AK280),01/15/2015,21.8,0.049,0.79,4.53,4.33,11.37,Y,Apollo
(2015 AY245),01/14/2015,21.2,0.019,1,1.25,1.2,13.59,Y,Apollo
(2015 AC17),01/03/2015,19.9,0.238,1.22,3.29,3.39,29.25,N,Amor
(2014 YR43),12/26/2014,19.5,0.303,0.97,4,3.92,26.46,N,Apollo
